Tempo(s),Setpoint - Temperatura(C),Sensor - Temperatura(C),IAE - Erro absoluto,ISE - Erro Quadratico
206,"200,00000","170,00",30,900
207,"200,00000","170,00",30,900
208,"200,00000","170,00",30,900
209,"200,00000","170,00",30,900
210,"200,00000","170,00",30,900
211,"200,00000","170,50","29,5","870,25"
212,"200,00000","170,50","29,5","870,25"
213,"200,00000","170,25","29,75","885,0625"
214,"200,00000","170,25","29,75","885,0625"
215,"200,00000","170,25","29,75","885,0625"
216,"200,00000","170,75","29,25","855,5625"
217,"200,00000","170,75","29,25","855,5625"
218,"200,00000","170,75","29,25","855,5625"
219,"200,00000","170,75","29,25","855,5625"
220,"200,00000","170,75","29,25","855,5625"
221,"200,00000","170,75","29,25","855,5625"
222,"200,00000","170,75","29,25","855,5625"
223,"200,00000","170,75","29,25","855,5625"
224,"200,00000","170,75","29,25","855,5625"
225,"200,00000","170,75","29,25","855,5625"
226,"200,00000","170,75","29,25","855,5625"
227,"200,00000","170,75","29,25","855,5625"
228,"200,00000","170,75","29,25","855,5625"
229,"200,00000","170,75","29,25","855,5625"
230,"200,00000","170,75","29,25","855,5625"
231,"200,00000","170,50","29,5","870,25"
232,"200,00000","170,50","29,5","870,25"
233,"200,00000","170,50","29,5","870,25"
234,"200,00000","170,75","29,25","855,5625"
235,"200,00000","170,75","29,25","855,5625"
236,"200,00000","170,75","29,25","855,5625"
237,"200,00000","170,00",30,900
238,"200,00000","170,00",30,900
239,"200,00000","170,00",30,900
240,"200,00000","170,50","29,5","870,25"
241,"200,00000","170,50","29,5","870,25"
242,"200,00000","170,50","29,5","870,25"
243,"200,00000","170,25","29,75","885,0625"
244,"200,00000","170,25","29,75","885,0625"
245,"200,00000","170,25","29,75","885,0625"
246,"200,00000","169,50","30,5","930,25"
247,"200,00000","169,50","30,5","930,25"
248,"200,00000","169,50","30,5","930,25"
249,"200,00000","170,00",30,900
250,"200,00000","170,00",30,900
251,"200,00000","170,00",30,900
252,"200,00000","169,75","30,25","915,0625"
253,"200,00000","169,75","30,25","915,0625"
254,"200,00000","169,75","30,25","915,0625"
255,"200,00000","169,50","30,5","930,25"
256,"200,00000","169,50","30,5","930,25"
257,"200,00000","169,50","30,5","930,25"
258,"200,00000","169,00",31,961
259,"200,00000","169,00",31,961
260,"200,00000","169,00",31,961
261,"200,00000","169,50","30,5","930,25"
262,"200,00000","169,50","30,5","930,25"
263,"200,00000","169,50","30,5","930,25"
264,"200,00000","169,50","30,5","930,25"
265,"200,00000","169,50","30,5","930,25"
266,"200,00000","168,25","31,75","1008,0625"
267,"200,00000","168,25","31,75","1008,0625"
268,"200,00000","168,25","31,75","1008,0625"
269,"200,00000","168,75","31,25","976,5625"
270,"200,00000","168,75","31,25","976,5625"
271,"200,00000","168,75","31,25","976,5625"
272,"200,00000","168,75","31,25","976,5625"
273,"200,00000","168,75","31,25","976,5625"
274,"200,00000","168,75","31,25","976,5625"
275,"200,00000","168,50","31,5","992,25"
276,"200,00000","168,50","31,5","992,25"
277,"200,00000","168,50","31,5","992,25"
278,"200,00000","168,50","31,5","992,25"
279,"200,00000","168,50","31,5","992,25"
280,"200,00000","168,50","31,5","992,25"
281,"200,00000","168,75","31,25","976,5625"
282,"200,00000","168,75","31,25","976,5625"
283,"200,00000","168,75","31,25","976,5625"
284,"200,00000","168,75","31,25","976,5625"
285,"200,00000","168,75","31,25","976,5625"
286,"200,00000","168,75","31,25","976,5625"
287,"200,00000","168,75","31,25","976,5625"
288,"200,00000","168,75","31,25","976,5625"
289,"200,00000","168,75","31,25","976,5625"
290,"200,00000","168,50","31,5","992,25"
291,"200,00000","168,50","31,5","992,25"
292,"200,00000","168,50","31,5","992,25"
293,"200,00000","168,25","31,75","1008,0625"
294,"200,00000","168,25","31,75","1008,0625"
295,"200,00000","168,25","31,75","1008,0625"
296,"200,00000","168,25","31,75","1008,0625"
297,"200,00000","168,25","31,75","1008,0625"
298,"200,00000","168,25","31,75","1008,0625"
299,"200,00000","168,00",32,1024
300,"200,00000","168,00",32,1024
301,"199,88889","168,00","31,88888889","1016,901235"
302,"199,77778","168,25","31,52777778","994,0007716"
303,"199,66667","168,25","31,41666667","987,0069444"
304,"199,55556","168,25","31,30555556","980,0378086"
305,"199,44444","167,50","31,94444444","1020,447531"
306,"199,33333","167,50","31,83333333","1013,361111"
307,"199,22222","167,50","31,72222222","1006,299383"
308,"199,11111","167,50","31,61111111","999,2623457"
309,"199,00000","167,50","31,5","992,25"
310,"198,88889","167,50","31,38888889","985,2623457"
311,"198,77778","168,25","30,52777778","931,945216"
312,"198,66667","168,25","30,41666667","925,1736111"
313,"198,55556","168,25","30,30555556","918,4266975"
314,"198,44444","168,25","30,19444444","911,7044753"
315,"198,33333","168,25","30,08333333","905,0069444"
316,"198,22222","168,00","30,22222222","913,382716"
317,"198,11111","168,50","29,61111111","876,8179012"
318,"198,00000","168,50","29,5","870,25"
319,"197,88889","168,00","29,88888889","893,345679"
320,"197,77778","168,00","29,77777778","886,7160494"
321,"197,66667","168,00","29,66666667","880,1111111"
322,"197,55556","168,50","29,05555556","844,2253086"
323,"197,44444","168,50","28,94444444","837,7808642"
324,"197,33333","168,50","28,83333333","831,3611111"
325,"197,22222","169,00","28,22222222","796,4938272"
326,"197,11111","169,00","28,11111111","790,2345679"
327,"197,00000","169,00",28,784
328,"196,88889","168,50","28,38888889","805,9290123"
329,"196,77778","168,50","28,27777778","799,632716"
330,"196,66667","168,50","28,16666667","793,3611111"
331,"196,55556","169,00","27,55555556","759,308642"
332,"196,44444","169,00","27,44444444","753,1975309"
333,"196,33333","169,00","27,33333333","747,1111111"
334,"196,22222","169,25","26,97222222","727,5007716"
335,"196,11111","169,25","26,86111111","721,5192901"
336,"196,00000","169,25","26,75","715,5625"
337,"195,88889","169,75","26,13888889","683,2415123"
338,"195,77778","169,75","26,02777778","677,445216"
339,"195,66667","169,75","25,91666667","671,6736111"
340,"195,55556","169,75","25,80555556","665,9266975"
341,"195,44444","169,75","25,69444444","660,2044753"
342,"195,33333","169,75","25,58333333","654,5069444"
343,"195,22222","170,50","24,72222222","611,1882716"
344,"195,11111","170,50","24,61111111","605,7067901"
345,"195,00000","170,50","24,5","600,25"
346,"194,88889","170,50","24,38888889","594,8179012"
347,"194,77778","170,50","24,27777778","589,4104938"
348,"194,66667","170,50","24,16666667","584,0277778"
349,"194,55556","171,00","23,55555556","554,8641975"
350,"194,44444","171,00","23,44444444","549,6419753"
351,"194,33333","171,00","23,33333333","544,4444444"
352,"194,22222","170,50","23,72222222","562,7438272"
353,"194,11111","170,50","23,61111111","557,4845679"
354,"194,00000","170,50","23,5","552,25"
355,"193,88889","170,50","23,38888889","547,0401235"
356,"193,77778","170,50","23,27777778","541,8549383"
357,"193,66667","170,75","22,91666667","525,1736111"
358,"193,55556","170,75","22,80555556","520,0933642"
359,"193,44444","170,75","22,69444444","515,0378086"
360,"193,33333","170,25","23,08333333","532,8402778"
361,"193,22222","170,25","22,97222222","527,7229938"
362,"193,11111","170,25","22,86111111","522,6304012"
363,"193,00000","170,25","22,75","517,5625"
364,"192,88889","170,25","22,63888889","512,5192901"
365,"192,77778","170,25","22,52777778","507,5007716"
366,"192,66667","169,75","22,91666667","525,1736111"
367,"192,55556","169,75","22,80555556","520,0933642"
368,"192,44444","169,75","22,69444444","515,0378086"
369,"192,33333","170,75","21,58333333","465,8402778"
370,"192,22222","170,75","21,47222222","461,0563272"
371,"192,11111","170,75","21,36111111","456,2970679"
372,"192,00000","170,50","21,5","462,25"
373,"191,88889","170,50","21,38888889","457,4845679"
374,"191,77778","170,50","21,27777778","452,7438272"
375,"191,66667","170,25","21,41666667","458,6736111"
376,"191,55556","170,25","21,30555556","453,9266975"
377,"191,44444","170,25","21,19444444","449,2044753"
378,"191,33333","170,50","20,83333333","434,0277778"
379,"191,22222","170,50","20,72222222","429,4104938"
380,"191,11111","170,50","20,61111111","424,8179012"
381,"191,00000","170,50","20,5","420,25"
382,"190,88889","170,50","20,38888889","415,7067901"
383,"190,77778","170,50","20,27777778","411,1882716"
384,"190,66667","170,25","20,41666667","416,8402778"
385,"190,55556","170,25","20,30555556","412,3155864"
386,"190,44444","170,25","20,19444444","407,8155864"
387,"190,33333","170,25","20,08333333","403,3402778"
388,"190,22222","170,25","19,97222222","398,8896605"
389,"190,11111","170,25","19,86111111","394,4637346"
390,"190,00000","170,75","19,25","370,5625"
391,"189,88889","170,75","19,13888889","366,2970679"
392,"189,77778","170,75","19,02777778","362,0563272"
393,"189,66667","170,25","19,41666667","377,0069444"
394,"189,55556","170,25","19,30555556","372,7044753"
395,"189,44444","170,50","18,94444444","358,8919753"
396,"189,33333","170,50","18,83333333","354,6944444"
397,"189,22222","170,50","18,72222222","350,5216049"
398,"189,11111","170,50","18,61111111","346,3734568"
399,"189,00000","170,50","18,5","342,25"
400,"188,88889","170,50","18,38888889","338,1512346"
401,"188,77778","170,50","18,27777778","334,0771605"
402,"188,66667","170,50","18,16666667","330,0277778"
403,"188,55556","170,50","18,05555556","326,0030864"
404,"188,44444","170,25","18,19444444","331,0378086"
405,"188,33333","170,25","18,08333333","327,0069444"
406,"188,22222","170,25","17,97222222","323,0007716"
407,"188,11111","170,00","18,11111111","328,0123457"
408,"188,00000","170,00",18,324
409,"187,88889","170,00","17,88888889","320,0123457"
410,"187,77778","169,75","18,02777778","325,0007716"
411,"187,66667","169,75","17,91666667","321,0069444"
412,"187,55556","169,75","17,80555556","317,0378086"
413,"187,44444","169,50","17,94444444","322,0030864"
414,"187,33333","169,50","17,83333333","318,0277778"
415,"187,22222","169,50","17,72222222","314,0771605"
416,"187,11111","169,00","18,11111111","328,0123457"
417,"187,00000","169,00",18,324
418,"186,88889","169,00","17,88888889","320,0123457"
419,"186,77778","168,75","18,02777778","325,0007716"
420,"186,66667","168,75","17,91666667","321,0069444"
421,"186,55556","168,75","17,80555556","317,0378086"
422,"186,44444","169,25","17,19444444","295,6489198"
423,"186,33333","169,25","17,08333333","291,8402778"
424,"186,22222","169,25","16,97222222","288,0563272"
425,"186,11111","168,25","17,86111111","319,0192901"
426,"186,00000","168,25","17,75","315,0625"
427,"185,88889","167,50","18,38888889","338,1512346"
428,"185,77778","167,50","18,27777778","334,0771605"
429,"185,66667","167,50","18,16666667","330,0277778"
430,"185,55556","168,00","17,55555556","308,1975309"
431,"185,44444","168,00","17,44444444","304,308642"
432,"185,33333","168,00","17,33333333","300,4444444"
433,"185,22222","168,00","17,22222222","296,6049383"
434,"185,11111","168,00","17,11111111","292,7901235"
435,"185,00000","168,00",17,289
436,"184,88889","167,50","17,38888889","302,3734568"
437,"184,77778","167,50","17,27777778","298,5216049"
438,"184,66667","167,50","17,16666667","294,6944444"
439,"184,55556","167,75","16,80555556","282,4266975"
440,"184,44444","167,75","16,69444444","278,7044753"
441,"184,33333","167,75","16,58333333","275,0069444"
442,"184,22222","167,00","17,22222222","296,6049383"
443,"184,11111","167,00","17,11111111","292,7901235"
444,"184,00000","167,00",17,289
445,"183,88889","167,50","16,38888889","268,595679"
446,"183,77778","167,50","16,27777778","264,9660494"
447,"183,66667","167,50","16,16666667","261,3611111"
448,"183,55556","167,00","16,55555556","274,0864198"
449,"183,44444","167,00","16,44444444","270,4197531"
450,"183,33333","167,00","16,33333333","266,7777778"
451,"183,22222","167,25","15,97222222","255,1118827"
452,"183,11111","167,25","15,86111111","251,5748457"
453,"183,00000","167,25","15,75","248,0625"
454,"182,88889","166,50","16,38888889","268,595679"
455,"182,77778","166,50","16,27777778","264,9660494"
456,"182,66667","166,50","16,16666667","261,3611111"
457,"182,55556","166,25","16,30555556","265,871142"
458,"182,44444","166,25","16,19444444","262,2600309"
459,"182,33333","167,00","15,33333333","235,1111111"
460,"182,22222","167,00","15,22222222","231,7160494"
461,"182,11111","167,00","15,11111111","228,345679"
462,"182,00000","167,00",15,225
463,"181,88889","167,00","14,88888889","221,6790123"
464,"181,77778","167,00","14,77777778","218,382716"
465,"181,66667","166,75","14,91666667","222,5069444"
466,"181,55556","166,75","14,80555556","219,2044753"
467,"181,44444","166,75","14,69444444","215,9266975"
468,"181,33333","166,50","14,83333333","220,0277778"
469,"181,22222","166,50","14,72222222","216,7438272"
470,"181,11111","166,50","14,61111111","213,4845679"
471,"181,00000","166,25","14,75","217,5625"
472,"180,88889","166,25","14,63888889","214,2970679"
473,"180,77778","166,25","14,52777778","211,0563272"
474,"180,66667","166,25","14,41666667","207,8402778"
475,"180,55556","166,25","14,30555556","204,6489198"
476,"180,44444","166,25","14,19444444","201,4822531"
477,"180,33333","166,00","14,33333333","205,4444444"
478,"180,22222","166,00","14,22222222","202,2716049"
479,"180,11111","166,25","13,86111111","192,1304012"
480,"180,00000","166,25","13,75","189,0625"
,,,"10322,75","250893,3773"
,,,,
,,"171,00",,
