Tempo(s),Setpoint - Temperatura(C),Sensor - Temperatura(C),IAE - Erro absoluto,ISE - Erro Quadratico
0,"80,00000","78,75","1,25","1,5625"
1,"81,16667","78,75","2,416666667","5,840277778"
2,"82,33333","78,75","3,583333333","12,84027778"
3,"83,50000","78,50",5,25
4,"84,66667","78,50","6,166666667","38,02777778"
5,"85,83333","78,50","7,333333333","53,77777778"
6,"87,00000","78,00",9,81
7,"88,16667","78,00","10,16666667","103,3611111"
8,"89,33333","78,00","11,33333333","128,4444444"
9,"90,50000","80,00","10,5","110,25"
10,"91,66667","80,00","11,66666667","136,1111111"
11,"92,83333","80,00","12,83333333","164,6944444"
12,"94,00000","83,25","10,75","115,5625"
13,"95,16667","83,25","11,91666667","142,0069444"
14,"96,33333","83,25","13,08333333","171,1736111"
15,"97,50000","87,00","10,5","110,25"
16,"98,66667","87,00","11,66666667","136,1111111"
17,"99,83333","87,00","12,83333333","164,6944444"
18,"101,00000","90,75","10,25","105,0625"
19,"102,16667","90,75","11,41666667","130,3402778"
20,"103,33333","90,75","12,58333333","158,3402778"
21,"104,50000","95,25","9,25","85,5625"
22,"105,66667","95,25","10,41666667","108,5069444"
23,"106,83333","95,25","11,58333333","134,1736111"
24,"108,00000","100,00",8,64
25,"109,16667","100,00","9,166666667","84,02777778"
26,"110,33333","100,00","10,33333333","106,7777778"
27,"111,50000","104,25","7,25","52,5625"
28,"112,66667","104,25","8,416666667","70,84027778"
29,"113,83333","104,25","9,583333333","91,84027778"
30,"115,00000","107,75","7,25","52,5625"
31,"116,16667","107,75","8,416666667","70,84027778"
32,"117,33333","107,75","9,583333333","91,84027778"
33,"118,50000","111,75","6,75","45,5625"
34,"119,66667","111,75","7,916666667","62,67361111"
35,"120,83333","111,75","9,083333333","82,50694444"
36,"122,00000","115,50","6,5","42,25"
37,"123,16667","115,50","7,666666667","58,77777778"
38,"124,33333","115,50","8,833333333","78,02777778"
39,"125,50000","118,25","7,25","52,5625"
40,"126,66667","118,25","8,416666667","70,84027778"
41,"127,83333","118,25","9,583333333","91,84027778"
42,"129,00000","121,75","7,25","52,5625"
43,"130,16667","121,75","8,416666667","70,84027778"
44,"131,33333","121,75","9,583333333","91,84027778"
45,"132,50000","124,50",8,64
46,"133,66667","124,50","9,166666667","84,02777778"
47,"134,83333","124,50","10,33333333","106,7777778"
48,"136,00000","127,75","8,25","68,0625"
49,"137,16667","127,75","9,416666667","88,67361111"
50,"138,33333","127,75","10,58333333","112,0069444"
51,"139,50000","130,25","9,25","85,5625"
52,"140,66667","130,25","10,41666667","108,5069444"
53,"141,83333","130,25","11,58333333","134,1736111"
54,"143,00000","132,25","10,75","115,5625"
55,"144,16667","132,25","11,91666667","142,0069444"
56,"145,33333","132,25","13,08333333","171,1736111"
57,"146,50000","134,50",12,144
58,"147,66667","134,50","13,16666667","173,3611111"
59,"148,83333","136,50","12,33333333","152,1111111"
60,"150,00000","136,50","13,5","182,25"
61,"150,50000","136,50",14,196
62,"151,00000","138,50","12,5","156,25"
63,"151,50000","138,50",13,169
64,"152,00000","138,50","13,5","182,25"
65,"152,50000","140,75","11,75","138,0625"
66,"153,00000","140,75","12,25","150,0625"
67,"153,50000","140,75","12,75","162,5625"
68,"154,00000","142,75","11,25","126,5625"
69,"154,50000","142,75","11,75","138,0625"
70,"155,00000","142,75","12,25","150,0625"
71,"155,50000","144,25","11,25","126,5625"
72,"156,00000","144,25","11,75","138,0625"
73,"156,50000","144,25","12,25","150,0625"
74,"157,00000","146,25","10,75","115,5625"
75,"157,50000","146,25","11,25","126,5625"
76,"158,00000","146,25","11,75","138,0625"
77,"158,50000","147,25","11,25","126,5625"
78,"159,00000","147,25","11,75","138,0625"
79,"159,50000","147,25","12,25","150,0625"
80,"160,00000","149,25","10,75","115,5625"
81,"160,50000","149,25","11,25","126,5625"
82,"161,00000","149,25","11,75","138,0625"
83,"161,50000","150,25","11,25","126,5625"
84,"162,00000","150,25","11,75","138,0625"
85,"162,50000","150,25","12,25","150,0625"
86,"163,00000","151,50","11,5","132,25"
87,"163,50000","151,50",12,144
88,"164,00000","151,50","12,5","156,25"
89,"164,50000","153,00","11,5","132,25"
90,"165,00000","153,00",12,144
91,"165,50000","153,00","12,5","156,25"
92,"166,00000","154,00",12,144
93,"166,50000","154,00","12,5","156,25"
94,"167,00000","154,00",13,169
95,"167,50000","155,25","12,25","150,0625"
96,"168,00000","155,25","12,75","162,5625"
97,"168,50000","155,25","13,25","175,5625"
98,"169,00000","156,00",13,169
99,"169,50000","156,00","13,5","182,25"
100,"170,00000","156,00",14,196
101,"170,50000","156,50",14,196
102,"171,00000","156,50","14,5","210,25"
103,"171,50000","156,50",15,225
104,"172,00000","157,25","14,75","217,5625"
105,"172,50000","157,25","15,25","232,5625"
106,"173,00000","157,25","15,75","248,0625"
107,"173,50000","158,00","15,5","240,25"
108,"174,00000","158,00",16,256
109,"174,50000","158,00","16,5","272,25"
110,"175,00000","159,25","15,75","248,0625"
111,"175,50000","159,25","16,25","264,0625"
112,"176,00000","159,25","16,75","280,5625"
113,"176,50000","160,00","16,5","272,25"
114,"177,00000","160,00",17,289
115,"177,50000","160,00","17,5","306,25"
116,"178,00000","160,00",18,324
117,"178,50000","160,00","18,5","342,25"
118,"179,00000","160,00",19,361
119,"179,50000","161,75","17,75","315,0625"
120,"180,00000","161,75","18,25","333,0625"
121,"180,33333","161,75","18,58333333","345,3402778"
122,"180,66667","161,00","19,66666667","386,7777778"
123,"181,00000","161,00",20,400
124,"181,33333","161,00","20,33333333","413,4444444"
125,"181,66667","162,25","19,41666667","377,0069444"
126,"182,00000","162,25","19,75","390,0625"
127,"182,33333","162,25","20,08333333","403,3402778"
128,"182,66667","162,75","19,91666667","396,6736111"
129,"183,00000","162,75","20,25","410,0625"
130,"183,33333","162,75","20,58333333","423,6736111"
131,"183,66667","163,50","20,16666667","406,6944444"
132,"184,00000","163,50","20,5","420,25"
133,"184,33333","163,50","20,83333333","434,0277778"
134,"184,66667","163,75","20,91666667","437,5069444"
135,"185,00000","163,75","21,25","451,5625"
136,"185,33333","163,75","21,58333333","465,8402778"
137,"185,66667","163,75","21,91666667","480,3402778"
138,"186,00000","164,50","21,5","462,25"
139,"186,33333","164,75","21,58333333","465,8402778"
140,"186,66667","164,75","21,91666667","480,3402778"
141,"187,00000","164,75","22,25","495,0625"
142,"187,33333","165,50","21,83333333","476,6944444"
143,"187,66667","165,50","22,16666667","491,3611111"
144,"188,00000","165,50","22,5","506,25"
145,"188,33333","165,50","22,83333333","521,3611111"
146,"188,66667","165,50","23,16666667","536,6944444"
147,"189,00000","165,50","23,5","552,25"
148,"189,33333","166,00","23,33333333","544,4444444"
149,"189,66667","166,00","23,66666667","560,1111111"
150,"190,00000","166,00",24,576
151,"190,33333","166,25","24,08333333","580,0069444"
152,"190,66667","166,25","24,41666667","596,1736111"
153,"191,00000","166,25","24,75","612,5625"
154,"191,33333","167,00","24,33333333","592,1111111"
155,"191,66667","167,00","24,66666667","608,4444444"
156,"192,00000","167,00",25,625
157,"192,33333","167,00","25,33333333","641,7777778"
158,"192,66667","167,00","25,66666667","658,7777778"
159,"193,00000","167,00",26,676
160,"193,33333","167,00","26,33333333","693,4444444"
161,"193,66667","167,00","26,66666667","711,1111111"
162,"194,00000","167,00",27,729
163,"194,33333","166,75","27,58333333","760,8402778"
164,"194,66667","166,75","27,91666667","779,3402778"
165,"195,00000","166,75","28,25","798,0625"
166,"195,33333","167,50","27,83333333","774,6944444"
167,"195,66667","167,50","28,16666667","793,3611111"
168,"196,00000","167,50","28,5","812,25"
169,"196,33333","168,00","28,33333333","802,7777778"
170,"196,66667","168,00","28,66666667","821,7777778"
171,"197,00000","168,00",29,841
172,"197,33333","168,00","29,33333333","860,4444444"
173,"197,66667","168,00","29,66666667","880,1111111"
174,"198,00000","168,00",30,900
175,"198,33333","168,25","30,08333333","905,0069444"
176,"198,66667","168,25","30,41666667","925,1736111"
177,"199,00000","168,25","30,75","945,5625"
178,"199,33333","168,75","30,58333333","935,3402778"
179,"199,66667","168,75","30,91666667","955,8402778"
180,"200,00000","168,75","31,25","976,5625"
181,"200,00000","169,25","30,75","945,5625"
182,"200,00000","169,25","30,75","945,5625"
183,"200,00000","169,25","30,75","945,5625"
184,"200,00000","169,00",31,961
185,"200,00000","169,00",31,961
186,"200,00000","169,00",31,961
187,"200,00000","169,00",31,961
188,"200,00000","169,00",31,961
189,"200,00000","169,00",31,961
190,"200,00000","169,00",31,961
191,"200,00000","169,00",31,961
192,"200,00000","169,00",31,961
193,"200,00000","169,00",31,961
194,"200,00000","169,00",31,961
195,"200,00000","169,00",31,961
196,"200,00000","169,00",31,961
197,"200,00000","169,00",31,961
198,"200,00000","169,00",31,961
199,"200,00000","169,75","30,25","915,0625"
200,"200,00000","169,75","30,25","915,0625"
201,"200,00000","169,75","30,25","915,0625"
202,"200,00000","169,75","30,25","915,0625"
203,"200,00000","169,75","30,25","915,0625"
204,"200,00000","169,75","30,25","915,0625"
205,"200,00000","170,00",30,900
