Tempo(s),Setpoint - Temperatura(C),Sensor - Temperatura(C),IAE - Erro absoluto,ISE - Erro Quadratico
0,"60,0000000","61,00",1,1
1,"60,3333333","61,00","0,6666666667","0,4444444444"
2,"60,6666667","61,00","0,3333333333","0,1111111111"
3,"61,0000000","61,00",0,0
4,"61,3333333","61,00","0,3333333333","0,1111111111"
5,"61,6666667","61,00","0,6666666667","0,4444444444"
6,"62,0000000","61,00",1,1
7,"62,3333333","61,00","1,333333333","1,777777778"
8,"62,6666667","56,00","6,666666667","44,44444444"
9,"63,0000000","56,00",7,49
10,"63,3333333","56,50","6,833333333","46,69444444"
11,"63,6666667","56,50","7,166666667","51,36111111"
12,"64,0000000","56,50","7,5","56,25"
13,"64,3333333","58,50","5,833333333","34,02777778"
14,"64,6666667","58,50","6,166666667","38,02777778"
15,"65,0000000","62,50","2,5","6,25"
16,"65,3333333","62,50","2,833333333","8,027777778"
17,"65,6666667","62,50","3,166666667","10,02777778"
18,"66,0000000","67,50","1,5","2,25"
19,"66,3333333","67,50","1,166666667","1,361111111"
20,"66,6666667","67,50","0,8333333333","0,6944444444"
21,"67,0000000","73,25","6,25","39,0625"
22,"67,3333333","73,25","5,916666667","35,00694444"
23,"67,6666667","73,25","5,583333333","31,17361111"
24,"68,0000000","78,50","10,5","110,25"
25,"68,3333333","78,50","10,16666667","103,3611111"
26,"68,6666667","78,50","9,833333333","96,69444444"
27,"69,0000000","81,50","12,5","156,25"
28,"69,3333333","81,50","12,16666667","148,0277778"
29,"69,6666667","81,50","11,83333333","140,0277778"
30,"70,0000000","82,00",12,144
31,"70,3333333","82,00","11,66666667","136,1111111"
32,"70,6666667","82,00","11,33333333","128,4444444"
33,"71,0000000","80,50","9,5","90,25"
34,"71,3333333","80,50","9,166666667","84,02777778"
35,"71,6666667","80,50","8,833333333","78,02777778"
36,"72,0000000","77,75","5,75","33,0625"
37,"72,3333333","77,75","5,416666667","29,34027778"
38,"72,6666667","77,75","5,083333333","25,84027778"
39,"73,0000000","74,50","1,5","2,25"
40,"73,3333333","74,50","1,166666667","1,361111111"
41,"73,6666667","74,50","0,8333333333","0,6944444444"
42,"74,0000000","71,50","2,5","6,25"
43,"74,3333333","71,50","2,833333333","8,027777778"
44,"74,6666667","71,50","3,166666667","10,02777778"
45,"75,0000000","67,50","7,5","56,25"
46,"75,3333333","67,50","7,833333333","61,36111111"
47,"75,6666667","67,50","8,166666667","66,69444444"
48,"76,0000000","65,25","10,75","115,5625"
49,"76,3333333","65,25","11,08333333","122,8402778"
50,"76,6666667","65,25","11,41666667","130,3402778"
51,"77,0000000","66,00",11,121
52,"77,3333333","66,00","11,33333333","128,4444444"
53,"77,6666667","66,00","11,66666667","136,1111111"
54,"78,0000000","69,25","8,75","76,5625"
55,"78,3333333","69,25","9,083333333","82,50694444"
56,"78,6666667","69,25","9,416666667","88,67361111"
57,"79,0000000","73,25","5,75","33,0625"
58,"79,3333333","73,25","6,083333333","37,00694444"
59,"79,6666667","73,25","6,416666667","41,17361111"
60,"80,0000000","79,25","0,75","0,5625"
61,"80,1666667","79,25","0,9166666667","0,8402777778"
62,"80,3333333","79,25","1,083333333","1,173611111"
63,"80,5000000","85,75","5,25","27,5625"
64,"80,6666667","85,75","5,083333333","25,84027778"
65,"80,8333333","85,75","4,916666667","24,17361111"
66,"81,0000000","91,00",10,100
67,"81,1666667","91,00","9,833333333","96,69444444"
68,"81,3333333","91,00","9,666666667","93,44444444"
69,"81,5000000","92,75","11,25","126,5625"
70,"81,6666667","92,75","11,08333333","122,8402778"
71,"81,8333333","92,75","10,91666667","119,1736111"
72,"82,0000000","93,25","11,25","126,5625"
73,"82,1666667","93,25","11,08333333","122,8402778"
74,"82,3333333","93,25","10,91666667","119,1736111"
75,"82,5000000","91,25","8,75","76,5625"
76,"82,6666667","91,25","8,583333333","73,67361111"
77,"82,8333333","91,25","8,416666667","70,84027778"
78,"83,0000000","87,50","4,5","20,25"
79,"83,1666667","87,50","4,333333333","18,77777778"
80,"83,3333333","87,50","4,166666667","17,36111111"
81,"83,5000000","84,25","0,75","0,5625"
82,"83,6666667","84,25","0,5833333333","0,3402777778"
83,"83,8333333","84,25","0,4166666667","0,1736111111"
84,"84,0000000","79,75","4,25","18,0625"
85,"84,1666667","79,75","4,416666667","19,50694444"
86,"84,3333333","79,75","4,583333333","21,00694444"
87,"84,5000000","75,50",9,81
88,"84,6666667","75,50","9,166666667","84,02777778"
89,"84,8333333","75,50","9,333333333","87,11111111"
90,"85,0000000","75,00",10,100
91,"85,1666667","75,00","10,16666667","103,3611111"
92,"85,3333333","75,00","10,33333333","106,7777778"
93,"85,5000000","76,00","9,5","90,25"
94,"85,6666667","76,00","9,666666667","93,44444444"
95,"85,8333333","76,00","9,833333333","96,69444444"
96,"86,0000000","79,75","6,25","39,0625"
97,"86,1666667","79,75","6,416666667","41,17361111"
98,"86,3333333","79,75","6,583333333","43,34027778"
99,"86,5000000","84,50",2,4
100,"86,6666667","84,50","2,166666667","4,694444444"
101,"86,8333333","89,00","2,166666667","4,694444444"
102,"87,0000000","89,00",2,4
103,"87,1666667","89,00","1,833333333","3,361111111"
104,"87,3333333","94,00","6,666666667","44,44444444"
105,"87,5000000","94,00","6,5","42,25"
106,"87,6666667","94,00","6,333333333","40,11111111"
107,"87,8333333","97,00","9,166666667","84,02777778"
108,"88,0000000","97,00",9,81
109,"88,1666667","97,00","8,833333333","78,02777778"
110,"88,3333333","98,75","10,41666667","108,5069444"
111,"88,5000000","98,75","10,25","105,0625"
112,"88,6666667","98,75","10,08333333","101,6736111"
113,"88,8333333","97,25","8,416666667","70,84027778"
114,"89,0000000","97,25","8,25","68,0625"
115,"89,1666667","97,25","8,083333333","65,34027778"
116,"89,3333333","93,75","4,416666667","19,50694444"
117,"89,5000000","93,75","4,25","18,0625"
118,"89,6666667","93,75","4,083333333","16,67361111"
119,"89,8333333","90,75","0,9166666667","0,8402777778"
120,"90,0000000","90,75","0,75","0,5625"
121,"90,1666667","90,75","0,5833333333","0,3402777778"
122,"90,3333333","86,25","4,083333333","16,67361111"
123,"90,5000000","86,25","4,25","18,0625"
124,"90,6666667","86,25","4,416666667","19,50694444"
125,"90,8333333","82,00","8,833333333","78,02777778"
126,"91,0000000","82,00",9,81
127,"91,1666667","82,00","9,166666667","84,02777778"
