Tempo(s),Setpoint - Temperatura(C),Sensor - Temperatura(C),IAE - Erro absoluto,ISE - Erro Quadratico
455,"145,208333","144,25000","0,9583333333","0,9184027778"
456,"145,000000","144,25000","0,75","0,5625"
457,"144,791667","143,25000","1,541666667","2,376736111"
458,"144,583333","143,25000","1,333333333","1,777777778"
459,"144,375000","143,25000","1,125","1,265625"
460,"144,166667","142,75000","1,416666667","2,006944444"
461,"143,958333","142,75000","1,208333333","1,460069444"
462,"143,750000","142,75000",1,1
463,"143,541667","142,25000","1,291666667","1,668402778"
464,"143,333333","142,25000","1,083333333","1,173611111"
465,"143,125000","142,25000","0,875","0,765625"
466,"142,916667","142,00000","0,9166666667","0,8402777778"
467,"142,708333","142,00000","0,7083333333","0,5017361111"
468,"142,500000","142,00000","0,5","0,25"
469,"142,291667","142,00000","0,2916666667","0,08506944444"
470,"142,083333","142,00000","0,08333333333","0,006944444445"
471,"141,875000","141,75000","0,125","0,015625"
472,"141,666667","141,75000","0,08333333333","0,006944444444"
473,"141,458333","141,75000","0,2916666667","0,08506944444"
474,"141,250000","141,25000",0,0
475,"141,041667","141,25000","0,2083333333","0,04340277778"
476,"140,833333","141,25000","0,4166666667","0,1736111111"
477,"140,625000","140,25000","0,375","0,140625"
478,"140,416667","140,25000","0,1666666667","0,02777777778"
479,"140,208333","140,25000","0,04166666667","0,001736111111"
480,"140,000000","140,00000",0,0
481,"140,166667","140,00000","0,1666666667","0,02777777778"
482,"140,333333","140,00000","0,3333333333","0,1111111111"
483,"140,500000","138,75000","1,75","3,0625"
484,"140,666667","138,75000","1,916666667","3,673611111"
485,"140,833333","138,75000","2,083333333","4,340277778"
486,"141,000000","138,75000","2,25","5,0625"
487,"141,166667","138,75000","2,416666667","5,840277778"
488,"141,333333","139,00000","2,333333333","5,444444444"
489,"141,500000","139,00000","2,5","6,25"
490,"141,666667","139,00000","2,666666667","7,111111111"
491,"141,833333","139,00000","2,833333333","8,027777778"
492,"142,000000","139,50000","2,5","6,25"
493,"142,166667","139,50000","2,666666667","7,111111111"
494,"142,333333","139,50000","2,833333333","8,027777778"
495,"142,500000","140,00000","2,5","6,25"
496,"142,666667","140,00000","2,666666667","7,111111111"
497,"142,833333","141,50000","1,333333333","1,777777778"
498,"143,000000","141,50000","1,5","2,25"
499,"143,166667","141,50000","1,666666667","2,777777778"
500,"143,333333","142,25000","1,083333333","1,173611111"
501,"143,500000","142,25000","1,25","1,5625"
502,"143,666667","142,25000","1,416666667","2,006944444"
503,"143,833333","143,00000","0,8333333333","0,6944444444"
504,"144,000000","143,00000",1,1
505,"144,166667","143,00000","1,166666667","1,361111111"
506,"144,333333","143,50000","0,8333333333","0,6944444444"
507,"144,500000","143,50000",1,1
508,"144,666667","143,50000","1,166666667","1,361111111"
509,"144,833333","143,00000","1,833333333","3,361111111"
510,"145,000000","143,00000",2,4
511,"145,166667","143,00000","2,166666667","4,694444444"
512,"145,333333","144,25000","1,083333333","1,173611111"
513,"145,500000","144,25000","1,25","1,5625"
514,"145,666667","144,25000","1,416666667","2,006944444"
515,"145,833333","144,50000","1,333333333","1,777777778"
516,"146,000000","144,50000","1,5","2,25"
517,"146,166667","144,50000","1,666666667","2,777777778"
518,"146,333333","144,75000","1,583333333","2,506944444"
519,"146,500000","144,75000","1,75","3,0625"
520,"146,666667","144,75000","1,916666667","3,673611111"
521,"146,833333","145,25000","1,583333333","2,506944444"
522,"147,000000","145,25000","1,75","3,0625"
523,"147,166667","145,50000","1,666666667","2,777777778"
524,"147,333333","145,50000","1,833333333","3,361111111"
525,"147,500000","145,50000",2,4
526,"147,666667","145,50000","2,166666667","4,694444444"
527,"147,833333","145,50000","2,333333333","5,444444444"
528,"148,000000","145,50000","2,5","6,25"
529,"148,166667","146,50000","1,666666667","2,777777778"
530,"148,333333","146,50000","1,833333333","3,361111111"
531,"148,500000","146,50000",2,4
532,"148,666667","147,50000","1,166666667","1,361111111"
533,"148,833333","147,50000","1,333333333","1,777777778"
534,"149,000000","147,50000","1,5","2,25"
535,"149,166667","148,25000","0,9166666667","0,8402777778"
536,"149,333333","148,25000","1,083333333","1,173611111"
537,"149,500000","148,25000","1,25","1,5625"
538,"149,666667","148,50000","1,166666667","1,361111111"
539,"149,833333","148,50000","1,333333333","1,777777778"
540,"150,000000","148,50000","1,5","2,25"
541,"150,166667","149,25000","0,9166666667","0,8402777778"
542,"150,333333","149,25000","1,083333333","1,173611111"
543,"150,500000","149,25000","1,25","1,5625"
544,"150,666667","149,50000","1,166666667","1,361111111"
545,"150,833333","149,50000","1,333333333","1,777777778"
546,"151,000000","150,00000",1,1
547,"151,166667","150,00000","1,166666667","1,361111111"
548,"151,333333","150,00000","1,333333333","1,777777778"
549,"151,500000","150,00000","1,5","2,25"
550,"151,666667","150,00000","1,666666667","2,777777778"
551,"151,833333","150,00000","1,833333333","3,361111111"
552,"152,000000","150,25000","1,75","3,0625"
553,"152,166667","150,25000","1,916666667","3,673611111"
554,"152,333333","150,25000","2,083333333","4,340277778"
555,"152,500000","150,75000","1,75","3,0625"
556,"152,666667","150,75000","1,916666667","3,673611111"
557,"152,833333","150,75000","2,083333333","4,340277778"
558,"153,000000","150,75000","2,25","5,0625"
559,"153,166667","150,75000","2,416666667","5,840277778"
560,"153,333333","150,75000","2,583333333","6,673611111"
561,"153,500000","151,75000","1,75","3,0625"
562,"153,666667","151,75000","1,916666667","3,673611111"
563,"153,833333","151,75000","2,083333333","4,340277778"
564,"154,000000","152,00000",2,4
565,"154,166667","152,00000","2,166666667","4,694444444"
566,"154,333333","152,50000","1,833333333","3,361111111"
567,"154,500000","152,50000",2,4
568,"154,666667","152,50000","2,166666667","4,694444444"
569,"154,833333","152,75000","2,083333333","4,340277778"
570,"155,000000","152,75000","2,25","5,0625"
571,"155,166667","152,75000","2,416666667","5,840277778"
572,"155,333333","153,50000","1,833333333","3,361111111"
573,"155,500000","153,50000",2,4
574,"155,666667","153,50000","2,166666667","4,694444444"
575,"155,833333","153,75000","2,083333333","4,340277778"
576,"156,000000","153,75000","2,25","5,0625"
577,"156,166667","153,75000","2,416666667","5,840277778"
578,"156,333333","154,00000","2,333333333","5,444444444"
579,"156,500000","154,00000","2,5","6,25"
580,"156,666667","154,00000","2,666666667","7,111111111"
581,"156,833333","155,25000","1,583333333","2,506944444"
582,"157,000000","155,25000","1,75","3,0625"
583,"157,166667","155,25000","1,916666667","3,673611111"
584,"157,333333","156,25000","1,083333333","1,173611111"
585,"157,500000","156,25000","1,25","1,5625"
586,"157,666667","156,50000","1,166666667","1,361111111"
587,"157,833333","156,50000","1,333333333","1,777777778"
588,"158,000000","156,50000","1,5","2,25"
589,"158,166667","157,00000","1,166666667","1,361111111"
590,"158,333333","157,00000","1,333333333","1,777777778"
591,"158,500000","157,00000","1,5","2,25"
592,"158,666667","157,50000","1,166666667","1,361111111"
593,"158,833333","157,50000","1,333333333","1,777777778"
594,"159,000000","157,50000","1,5","2,25"
595,"159,166667","158,00000","1,166666667","1,361111111"
596,"159,333333","158,00000","1,333333333","1,777777778"
597,"159,500000","158,00000","1,5","2,25"
598,"159,666667","158,75000","0,9166666667","0,8402777778"
599,"159,833333","158,75000","1,083333333","1,173611111"
600,"160,000000","158,75000","1,25","1,5625"
601,"160,000000","159,50000","0,5","0,25"
602,"160,000000","159,50000","0,5","0,25"
603,"160,000000","159,50000","0,5","0,25"
604,"160,000000","159,50000","0,5","0,25"
605,"160,000000","159,50000","0,5","0,25"
606,"160,000000","159,50000","0,5","0,25"
607,"160,000000","159,50000","0,5","0,25"
608,"160,000000","159,50000","0,5","0,25"
609,"160,000000","159,00000",1,1
610,"160,000000","159,00000",1,1
611,"160,000000","159,00000",1,1
612,"160,000000","158,75000","1,25","1,5625"
613,"160,000000","158,75000","1,25","1,5625"
614,"160,000000","158,75000","1,25","1,5625"
