Tempo(s),Setpoint - Temperatura(C),Sensor - Temperatura(C),IAE - Erro absoluto,ISE - Erro Quadratico
0,"60,00000","60,25000","0,25","0,0625"
1,"60,75000","59,25000","1,5","2,25"
2,"61,50000","59,25000","2,25","5,0625"
3,"62,25000","59,25000",3,9
4,"63,00000","59,25000","3,75","14,0625"
5,"63,75000","59,25000","4,5","20,25"
6,"64,50000","59,25000","5,25","27,5625"
7,"65,25000","60,25000",5,25
8,"66,00000","60,25000","5,75","33,0625"
9,"66,75000","60,25000","6,5","42,25"
10,"67,50000","62,00000","5,5","30,25"
11,"68,25000","62,00000","6,25","39,0625"
12,"69,00000","62,00000",7,49
13,"69,75000","65,25000","4,5","20,25"
14,"70,50000","65,25000","5,25","27,5625"
15,"71,25000","65,25000",6,36
16,"72,00000","68,50000","3,5","12,25"
17,"72,75000","68,50000","4,25","18,0625"
18,"73,50000","68,50000",5,25
19,"74,25000","72,00000","2,25","5,0625"
20,"75,00000","72,00000",3,9
21,"75,75000","72,00000","3,75","14,0625"
22,"76,50000","75,75000","0,75","0,5625"
23,"77,25000","75,75000","1,5","2,25"
24,"78,00000","75,75000","2,25","5,0625"
25,"78,75000","78,75000",0,0
26,"79,50000","78,75000","0,75","0,5625"
27,"80,25000","78,75000","1,5","2,25"
28,"81,00000","80,75000","0,25","0,0625"
29,"81,75000","80,75000",1,1
30,"82,50000","80,75000","1,75","3,0625"
31,"83,25000","82,00000","1,25","1,5625"
32,"84,00000","82,00000",2,4
33,"84,75000","82,00000","2,75","7,5625"
34,"85,50000","83,75000","1,75","3,0625"
35,"86,25000","83,75000","2,5","6,25"
36,"87,00000","83,75000","3,25","10,5625"
37,"87,75000","85,25000","2,5","6,25"
38,"88,50000","85,25000","3,25","10,5625"
39,"89,25000","85,25000",4,16
40,"90,00000","87,25000","2,75","7,5625"
41,"90,75000","87,25000","3,5","12,25"
42,"91,50000","87,25000","4,25","18,0625"
43,"92,25000","89,75000","2,5","6,25"
44,"93,00000","89,75000","3,25","10,5625"
45,"93,75000","89,75000",4,16
46,"94,50000","92,50000",2,4
47,"95,25000","92,50000","2,75","7,5625"
48,"96,00000","92,50000","3,5","12,25"
49,"96,75000","94,25000","2,5","6,25"
50,"97,50000","94,25000","3,25","10,5625"
51,"98,25000","94,25000",4,16
52,"99,00000","97,25000","1,75","3,0625"
53,"99,75000","97,25000","2,5","6,25"
54,"100,50000","99,25000","1,25","1,5625"
55,"101,25000","99,25000",2,4
56,"102,00000","99,25000","2,75","7,5625"
57,"102,75000","99,25000","3,5","12,25"
58,"103,50000","101,25000","2,25","5,0625"
59,"104,25000","101,25000",3,9
60,"105,00000","103,75000","1,25","1,5625"
61,"105,75000","103,75000",2,4
62,"106,50000","103,75000","2,75","7,5625"
63,"107,25000","105,50000","1,75","3,0625"
64,"108,00000","105,50000","2,5","6,25"
65,"108,75000","105,50000","3,25","10,5625"
66,"109,50000","106,75000","2,75","7,5625"
67,"110,25000","106,75000","3,5","12,25"
68,"111,00000","106,75000","4,25","18,0625"
69,"111,75000","108,75000",3,9
70,"112,50000","108,75000","3,75","14,0625"
71,"113,25000","108,75000","4,5","20,25"
72,"114,00000","110,25000","3,75","14,0625"
73,"114,75000","110,25000","4,5","20,25"
74,"115,50000","110,25000","5,25","27,5625"
75,"116,25000","112,75000","3,5","12,25"
76,"117,00000","112,75000","4,25","18,0625"
77,"117,75000","112,75000",5,25
78,"118,50000","115,00000","3,5","12,25"
79,"119,25000","115,00000","4,25","18,0625"
80,"120,00000","115,00000",5,25
81,"120,75000","117,25000","3,5","12,25"
82,"121,50000","117,25000","4,25","18,0625"
83,"122,25000","117,25000",5,25
84,"123,00000","119,25000","3,75","14,0625"
85,"123,75000","119,25000","4,5","20,25"
86,"124,50000","119,25000","5,25","27,5625"
87,"125,25000","120,75000","4,5","20,25"
88,"126,00000","120,75000","5,25","27,5625"
89,"126,75000","120,75000",6,36
90,"127,50000","123,00000","4,5","20,25"
91,"128,25000","123,00000","5,25","27,5625"
92,"129,00000","123,00000",6,36
93,"129,75000","125,75000",4,16
94,"130,50000","125,75000","4,75","22,5625"
95,"131,25000","125,75000","5,5","30,25"
96,"132,00000","127,25000","4,75","22,5625"
97,"132,75000","127,25000","5,5","30,25"
98,"133,50000","127,25000","6,25","39,0625"
99,"134,25000","128,50000","5,75","33,0625"
100,"135,00000","128,50000","6,5","42,25"
101,"135,75000","128,50000","7,25","52,5625"
102,"136,50000","130,00000","6,5","42,25"
103,"137,25000","130,00000","7,25","52,5625"
104,"138,00000","130,00000",8,64
105,"138,75000","132,00000","6,75","45,5625"
106,"139,50000","132,00000","7,5","56,25"
107,"140,25000","132,00000","8,25","68,0625"
108,"141,00000","133,00000",8,64
109,"141,75000","133,00000","8,75","76,5625"
110,"142,50000","133,00000","9,5","90,25"
111,"143,25000","134,75000","8,5","72,25"
112,"144,00000","134,75000","9,25","85,5625"
113,"144,75000","134,75000",10,100
114,"145,50000","136,00000","9,5","90,25"
115,"146,25000","136,00000","10,25","105,0625"
116,"147,00000","136,00000",11,121
117,"147,75000","137,25000","10,5","110,25"
118,"148,50000","137,25000","11,25","126,5625"
119,"149,25000","137,25000",12,144
120,"150,00000","139,25000","10,75","115,5625"
121,150,"139,25000","10,875","118,265625"
122,"150,25000","139,25000",11,121
123,150,"140,75000","9,625","92,640625"
124,"150,50000","140,75000","9,75","95,0625"
125,151,"140,75000","9,875","97,515625"
126,"150,75000","142,50000","8,25","68,0625"
127,151,"142,50000","8,375","70,140625"
128,"151,00000","142,50000","8,5","72,25"
129,151,"143,25000","7,875","62,015625"
130,"151,25000","143,25000",8,64
131,151,"143,25000","8,125","66,015625"
132,"151,50000","144,25000","7,25","52,5625"
133,152,"144,25000","7,375","54,390625"
134,"151,75000","144,25000","7,5","56,25"
135,152,"144,25000","7,625","58,140625"
136,"152,00000","144,25000","7,75","60,0625"
137,152,"146,00000","6,125","37,515625"
138,"152,25000","146,75000","5,5","30,25"
139,152,"146,75000","5,625","31,640625"
140,"152,50000","148,00000","4,5","20,25"
141,153,"148,00000","4,625","21,390625"
142,"152,75000","148,00000","4,75","22,5625"
143,153,"149,25000","3,625","13,140625"
144,"153,00000","149,25000","3,75","14,0625"
145,153,"149,25000","3,875","15,015625"
146,"153,25000","150,25000",3,9
147,153,"150,25000","3,125","9,765625"
148,"153,50000","150,25000","3,25","10,5625"
149,154,"151,25000","2,375","5,640625"
150,"153,75000","151,25000","2,5","6,25"
151,154,"151,25000","2,625","6,890625"
152,"154,00000","152,00000",2,4
153,154,"152,00000","2,125","4,515625"
154,"154,25000","152,00000","2,25","5,0625"
155,154,"152,50000","1,875","3,515625"
156,"154,50000","152,50000",2,4
157,155,"152,50000","2,125","4,515625"
158,"154,75000","152,75000",2,4
159,155,"152,75000","2,125","4,515625"
160,"155,00000","152,75000","2,25","5,0625"
161,155,"153,75000","1,375","1,890625"
162,"155,25000","153,75000","1,5","2,25"
163,155,"153,75000","1,625","2,640625"
164,"155,50000","154,00000","1,5","2,25"
165,156,"154,00000","1,625","2,640625"
166,"155,75000","154,00000","1,75","3,0625"
167,156,"154,00000","1,875","3,515625"
168,"156,00000","154,00000",2,4
169,156,"154,00000","2,125","4,515625"
170,"156,25000","154,25000",2,4
171,156,"154,25000","2,125","4,515625"
172,"156,50000","154,25000","2,25","5,0625"
173,157,"153,75000","2,875","8,265625"
174,"156,75000","153,75000",3,9
175,157,"153,75000","3,125","9,765625"
176,"157,00000","153,50000","3,5","12,25"
177,157,"153,50000","3,625","13,140625"
178,"157,25000","153,50000","3,75","14,0625"
179,157,"153,75000","3,625","13,140625"
180,"157,50000","153,75000","3,75","14,0625"
181,158,"153,75000","3,875","15,015625"
182,"157,75000","153,00000","4,75","22,5625"
183,158,"153,00000","4,875","23,765625"
184,"158,00000","153,00000",5,25
185,158,"153,50000","4,625","21,390625"
186,"158,25000","153,50000","4,75","22,5625"
187,158,"153,50000","4,875","23,765625"
188,"158,50000","154,00000","4,5","20,25"
189,159,"154,00000","4,625","21,390625"
190,"158,75000","154,00000","4,75","22,5625"
191,159,"154,50000","4,375","19,140625"
192,"159,00000","154,50000","4,5","20,25"
193,159,"154,50000","4,625","21,390625"
194,"159,25000","155,00000","4,25","18,0625"
195,159,"155,00000","4,375","19,140625"
196,"159,50000","155,00000","4,5","20,25"
197,160,"156,00000","3,625","13,140625"
198,"159,75000","156,00000","3,75","14,0625"
199,160,"156,00000","3,875","15,015625"
200,"160,00000","156,25000","3,75","14,0625"
201,160,"156,25000","3,875","15,015625"
202,"160,25000","156,25000",4,16
203,160,"156,50000","3,875","15,015625"
204,"160,50000","156,50000",4,16
205,161,"156,50000","4,125","17,015625"
206,"160,75000","156,75000",4,16
207,161,"156,75000","4,125","17,015625"
208,"161,00000","157,75000","3,25","10,5625"
209,161,"157,75000","3,375","11,390625"
210,"161,25000","157,75000","3,5","12,25"
211,161,"157,50000","3,875","15,015625"
212,"161,50000","157,50000",4,16
213,162,"157,50000","4,125","17,015625"
214,"161,75000","159,00000","2,75","7,5625"
215,162,"159,00000","2,875","8,265625"
216,"162,00000","159,00000",3,9
217,162,"159,00000","3,125","9,765625"
218,"162,25000","159,00000","3,25","10,5625"
219,162,"159,00000","3,375","11,390625"
220,"162,50000","159,50000",3,9
221,163,"159,50000","3,125","9,765625"
222,"162,75000","159,50000","3,25","10,5625"
223,163,"160,00000","2,875","8,265625"
224,"163,00000","160,00000",3,9
225,163,"160,00000","3,125","9,765625"
226,"163,25000","160,75000","2,5","6,25"
227,163,"160,75000","2,625","6,890625"
228,"163,50000","160,75000","2,75","7,5625"
229,164,"160,50000","3,125","9,765625"
230,"163,75000","160,50000","3,25","10,5625"
231,164,"160,50000","3,375","11,390625"
232,"164,00000","160,50000","3,5","12,25"
233,164,"160,50000","3,625","13,140625"
234,"164,25000","160,50000","3,75","14,0625"
235,164,"161,00000","3,375","11,390625"
236,"164,50000","161,00000","3,5","12,25"
237,165,"161,00000","3,625","13,140625"
238,"164,75000","160,75000",4,16
239,165,"160,75000","4,125","17,015625"
240,"165,00000","160,75000","4,25","18,0625"
241,"165,00000","161,00000",4,16
242,"165,00000","161,00000",4,16
243,"165,00000","161,00000",4,16
244,"165,00000","161,25000","3,75","14,0625"
245,"165,00000","161,25000","3,75","14,0625"
246,"165,00000","161,25000","3,75","14,0625"
247,"165,00000","162,00000",3,9
248,"165,00000","162,00000",3,9
249,"165,00000","162,00000",3,9
250,"165,00000","162,50000","2,5","6,25"
251,"165,00000","162,50000","2,5","6,25"
252,"165,00000","162,50000","2,5","6,25"
253,"165,00000","163,00000",2,4
254,"165,00000","163,00000",2,4
255,"165,00000","163,00000",2,4
256,"165,00000","161,50000","3,5","12,25"
257,"165,00000","161,50000","3,5","12,25"
258,"165,00000","161,50000","3,5","12,25"
259,"165,00000","162,75000","2,25","5,0625"
260,"165,00000","162,75000","2,25","5,0625"
261,"165,00000","162,75000","2,25","5,0625"
262,"165,00000","163,00000",2,4
263,"165,00000","163,00000",2,4
264,"165,00000","163,00000",2,4
265,"165,00000","163,00000",2,4
266,"165,00000","163,00000",2,4
267,"165,00000","162,75000","2,25","5,0625"
268,"165,00000","162,75000","2,25","5,0625"
269,"165,00000","162,75000","2,25","5,0625"
270,"165,00000","163,25000","1,75","3,0625"
271,"165,00000","163,25000","1,75","3,0625"
272,"165,00000","163,25000","1,75","3,0625"
273,"165,00000","162,75000","2,25","5,0625"
274,"165,00000","162,75000","2,25","5,0625"
275,"165,00000","162,75000","2,25","5,0625"
276,"165,00000","162,50000","2,5","6,25"
277,"165,00000","162,50000","2,5","6,25"
278,"165,00000","162,50000","2,5","6,25"
279,"165,00000","162,75000","2,25","5,0625"
280,"165,00000","162,75000","2,25","5,0625"
281,"165,00000","162,75000","2,25","5,0625"
282,"165,00000","162,00000",3,9
283,"165,00000","162,00000",3,9
284,"165,00000","162,00000",3,9
285,"165,00000","162,00000",3,9
286,"165,00000","162,00000",3,9
287,"165,00000","162,00000",3,9
288,"165,00000","161,50000","3,5","12,25"
289,"165,00000","161,50000","3,5","12,25"
290,"165,00000","161,50000","3,5","12,25"
291,"165,00000","161,50000","3,5","12,25"
292,"165,00000","161,50000","3,5","12,25"
293,"165,00000","161,50000","3,5","12,25"
294,"165,00000","161,00000",4,16
295,"165,00000","161,00000",4,16
296,"165,00000","161,00000",4,16
297,"165,00000","161,50000","3,5","12,25"
298,"165,00000","161,50000","3,5","12,25"
299,"165,00000","161,50000","3,5","12,25"
300,"165,00000","161,75000","3,25","10,5625"
301,"165,00000","161,75000","3,25","10,5625"
302,"165,00000","161,75000","3,25","10,5625"
303,"165,00000","160,75000","4,25","18,0625"
304,"165,00000","160,75000","4,25","18,0625"
305,"165,00000","160,75000","4,25","18,0625"
306,"165,00000","161,50000","3,5","12,25"
307,"165,00000","161,50000","3,5","12,25"
308,"165,00000","161,50000","3,5","12,25"
309,"165,00000","161,50000","3,5","12,25"
310,"165,00000","161,50000","3,5","12,25"
311,"165,00000","161,50000","3,5","12,25"
312,"165,00000","161,50000","3,5","12,25"
313,"165,00000","162,00000",3,9
314,"165,00000","161,50000","3,5","12,25"
315,"165,00000","161,50000","3,5","12,25"
316,"165,00000","161,50000","3,5","12,25"
317,"165,00000","161,50000","3,5","12,25"
318,"165,00000","161,50000","3,5","12,25"
319,"165,00000","161,50000","3,5","12,25"
320,"165,00000","162,25000","2,75","7,5625"
321,"165,00000","162,25000","2,75","7,5625"
322,"165,00000","162,25000","2,75","7,5625"
323,"165,00000","162,75000","2,25","5,0625"
324,"165,00000","162,75000","2,25","5,0625"
325,"165,00000","162,75000","2,25","5,0625"
326,"165,00000","162,50000","2,5","6,25"
327,"165,00000","162,50000","2,5","6,25"
328,"165,00000","162,50000","2,5","6,25"
329,"165,00000","162,00000",3,9
330,"165,00000","162,00000",3,9
331,"165,00000","162,00000",3,9
332,"165,00000","163,00000",2,4
333,"165,00000","163,00000",2,4
334,"165,00000","163,00000",2,4
335,"165,00000","163,25000","1,75","3,0625"
336,"165,00000","163,25000","1,75","3,0625"
337,"165,00000","163,25000","1,75","3,0625"
338,"165,00000","162,75000","2,25","5,0625"
339,"165,00000","162,75000","2,25","5,0625"
340,"165,00000","162,75000","2,25","5,0625"
341,"165,00000","162,00000",3,9
342,"165,00000","162,00000",3,9
343,"165,00000","162,00000",3,9
344,"165,00000","162,00000",3,9
345,"165,00000","162,00000",3,9
346,"165,00000","162,75000","2,25","5,0625"
347,"165,00000","162,75000","2,25","5,0625"
348,"165,00000","162,75000","2,25","5,0625"
349,"165,00000","162,75000","2,25","5,0625"
350,"165,00000","162,75000","2,25","5,0625"
351,"165,00000","162,75000","2,25","5,0625"
352,"165,00000","162,25000","2,75","7,5625"
353,"165,00000","162,25000","2,75","7,5625"
354,"165,00000","162,25000","2,75","7,5625"
355,"165,00000","162,50000","2,5","6,25"
356,"165,00000","162,50000","2,5","6,25"
357,"165,00000","162,50000","2,5","6,25"
358,"165,00000","162,75000","2,25","5,0625"
359,"165,00000","162,75000","2,25","5,0625"
360,"165,00000","162,75000","2,25","5,0625"
361,"164,791667","162,75000","2,041666667","4,168402778"
362,"164,583333","162,75000","1,833333333","3,361111111"
363,"164,375000","162,75000","1,625","2,640625"
364,"164,166667","163,00000","1,166666667","1,361111111"
365,"163,958333","163,00000","0,9583333333","0,9184027778"
366,"163,750000","163,00000","0,75","0,5625"
367,"163,541667","163,00000","0,5416666667","0,2934027778"
368,"163,333333","163,00000","0,3333333333","0,1111111111"
369,"163,125000","163,00000","0,125","0,015625"
370,"162,916667","162,75000","0,1666666667","0,02777777778"
371,"162,708333","162,75000","0,04166666667","0,001736111111"
372,"162,500000","162,75000","0,25","0,0625"
373,"162,291667","161,50000","0,7916666667","0,6267361111"
374,"162,083333","161,50000","0,5833333333","0,3402777778"
375,"161,875000","161,50000","0,375","0,140625"
376,"161,666667","161,00000","0,6666666667","0,4444444444"
377,"161,458333","161,00000","0,4583333333","0,2100694444"
378,"161,250000","161,00000","0,25","0,0625"
379,"161,041667","160,50000","0,5416666667","0,2934027778"
380,"160,833333","160,50000","0,3333333333","0,1111111111"
381,"160,625000","159,00000","1,625","2,640625"
382,"160,416667","159,00000","1,416666667","2,006944444"
383,"160,208333","159,00000","1,208333333","1,460069444"
384,"160,000000","158,50000","1,5","2,25"
385,"159,791667","158,50000","1,291666667","1,668402778"
386,"159,583333","158,50000","1,083333333","1,173611111"
387,"159,375000","158,50000","0,875","0,765625"
388,"159,166667","157,50000","1,666666667","2,777777778"
389,"158,958333","157,50000","1,458333333","2,126736111"
390,"158,750000","156,25000","2,5","6,25"
391,"158,541667","156,25000","2,291666667","5,251736111"
392,"158,333333","156,25000","2,083333333","4,340277778"
393,"158,125000","155,75000","2,375","5,640625"
394,"157,916667","155,75000","2,166666667","4,694444444"
395,"157,708333","155,75000","1,958333333","3,835069444"
396,"157,500000","155,50000",2,4
397,"157,291667","155,50000","1,791666667","3,210069444"
398,"157,083333","155,50000","1,583333333","2,506944444"
399,"156,875000","155,00000","1,875","3,515625"
400,"156,666667","155,00000","1,666666667","2,777777778"
401,"156,458333","155,00000","1,458333333","2,126736111"
402,"156,250000","154,50000","1,75","3,0625"
403,"156,041667","154,50000","1,541666667","2,376736111"
404,"155,833333","154,50000","1,333333333","1,777777778"
405,"155,625000","154,75000","0,875","0,765625"
406,"155,416667","154,75000","0,6666666667","0,4444444444"
407,"155,208333","154,75000","0,4583333333","0,2100694444"
408,"155,000000","154,25000","0,75","0,5625"
409,"154,791667","154,25000","0,5416666667","0,2934027778"
410,"154,583333","154,25000","0,3333333333","0,1111111111"
411,"154,375000","153,25000","1,125","1,265625"
412,"154,166667","153,25000","0,9166666667","0,8402777778"
413,"153,958333","153,25000","0,7083333333","0,5017361111"
414,"153,750000","153,50000","0,25","0,0625"
415,"153,541667","153,50000","0,04166666667","0,001736111111"
416,"153,333333","153,25000","0,08333333333","0,006944444445"
417,"153,125000","153,25000","0,125","0,015625"
418,"152,916667","153,25000","0,3333333333","0,1111111111"
419,"152,708333","152,00000","0,7083333333","0,5017361111"
420,"152,500000","152,00000","0,5","0,25"
421,"152,291667","152,00000","0,2916666667","0,08506944444"
422,"152,083333","151,75000","0,3333333333","0,1111111111"
423,"151,875000","151,75000","0,125","0,015625"
424,"151,666667","151,75000","0,08333333333","0,006944444444"
425,"151,458333","150,75000","0,7083333333","0,5017361111"
426,"151,250000","150,75000","0,5","0,25"
427,"151,041667","150,75000","0,2916666667","0,08506944444"
428,"150,833333","150,00000","0,8333333333","0,6944444444"
429,"150,625000","150,00000","0,625","0,390625"
430,"150,416667","150,00000","0,4166666667","0,1736111111"
431,"150,208333","149,50000","0,7083333333","0,5017361111"
432,"150,000000","149,50000","0,5","0,25"
433,"149,791667","149,50000","0,2916666667","0,08506944444"
434,"149,583333","148,00000","1,583333333","2,506944444"
435,"149,375000","148,00000","1,375","1,890625"
436,"149,166667","148,00000","1,166666667","1,361111111"
437,"148,958333","148,25000","0,7083333333","0,5017361111"
438,"148,750000","148,25000","0,5","0,25"
439,"148,541667","148,25000","0,2916666667","0,08506944444"
440,"148,333333","147,25000","1,083333333","1,173611111"
441,"148,125000","147,25000","0,875","0,765625"
442,"147,916667","147,00000","0,9166666667","0,8402777778"
443,"147,708333","147,00000","0,7083333333","0,5017361111"
444,"147,500000","147,00000","0,5","0,25"
445,"147,291667","146,75000","0,5416666667","0,2934027778"
446,"147,083333","146,75000","0,3333333333","0,1111111111"
447,"146,875000","146,75000","0,125","0,015625"
448,"146,666667","146,00000","0,6666666667","0,4444444444"
449,"146,458333","146,00000","0,4583333333","0,2100694444"
450,"146,250000","146,00000","0,25","0,0625"
451,"146,041667","145,00000","1,041666667","1,085069444"
452,"145,833333","145,00000","0,8333333333","0,6944444444"
453,"145,625000","145,00000","0,625","0,390625"
454,"145,416667","145,00000","0,4166666667","0,1736111111"
